USER_ID,DOB_STR,STATUS
2009112,12082003,ACTIVE
2010101,16042002,ACTIVE
2010102,20012002,ACTIVE
2010103,01111997,ACTIVE
2010104,29032004,ACTIVE
2010105,07121999,ACTIVE
2010106,23062006,ACTIVE
2010107,21122006,ACTIVE
2010108,05032005,ACTIVE
2010109,30081999,ACTIVE
2010110,01122002,ACTIVE
2010111,23082008,ACTIVE
2011101,20012005,ACTIVE
2011102,06042006,ACTIVE
2011103,29092004,ACTIVE
2011104,02022006,ACTIVE
2011105,12082003,ACTIVE
2011106,25022004,ACTIVE
2011107,18122005,ACTIVE
2011108,05041987,ACTIVE
2011109,13112000,ACTIVE
2011110,09082005,ACTIVE
2011111,14052008,ACTIVE
2011112,20101985,ACTIVE
2011113,27112002,ACTIVE
2011114,13082006,ACTIVE
2011115,25122001,ACTIVE
2011116,07122005,ACTIVE
2012101,24031994,ACTIVE
2012102,25082007,ACTIVE
2012103,22072007,ACTIVE
2012104,16082007,ACTIVE
2012105,21032005,ACTIVE
2012106,06042003,ACTIVE
2012107,11072006,ACTIVE
2012108,02122006,ACTIVE
2012109,12021998,ACTIVE
2012110,21062003,ACTIVE
2012111,16102005,ACTIVE
2012112,18012005,ACTIVE
2012113,19041993,ACTIVE
2012114,09041989,ACTIVE
2012115,02062005,ACTIVE
2101101,31082007,ACTIVE
2101102,22062006,ACTIVE
2101103,02012021,ACTIVE
2101104,10082004,ACTIVE
2101105,16092004,ACTIVE
2101106,31122004,ACTIVE
2101107,17032007,ACTIVE
2101108,30062006,ACTIVE
2101109,18072006,ACTIVE
2101110,01042001,ACTIVE
2101111,17052003,ACTIVE
2101112,12041976,ACTIVE
2101113,07052001,BLACKLIST
2101114,29061994,ACTIVE
2101115,31102005,ACTIVE
2101116,02062005,ACTIVE
2101117,07111981,ACTIVE
2101118,14122007,ACTIVE
2101119,21121989,ACTIVE
2101120,30041981,ACTIVE
2101121,05052006,ACTIVE
2101122,28032006,ACTIVE
2101123,12102006,ACTIVE
2101124,28092006,ACTIVE
2101125,21042001,ACTIVE
2101126,24092004,ACTIVE
2101127,16032008,ACTIVE
2102101,18082001,ACTIVE
2102102,14082006,ACTIVE
2102103,17112002,ACTIVE
2102104,10052004,ACTIVE
2102105,27052007,ACTIVE
2102106,01011900,NON-ACTIVE
2102107,23042007,ACTIVE
2102108,14072003,ACTIVE
2102109,05102008,ACTIVE
2102110,12032007,ACTIVE
2102111,08112021,ACTIVE
2102112,27112005,ACTIVE
2102113,22122002,ACTIVE
2102114,12112007,ACTIVE
2102115,26092006,ACTIVE
2102116,21102007,ACTIVE
2102117,23122005,ACTIVE
2103101,29062004,ACTIVE
2103102,24102005,ACTIVE
2103103,07011986,ACTIVE
2103104,23082003,ACTIVE
2103105,31122001,ACTIVE
2103106,24102007,ACTIVE
2103107,29122001,ACTIVE
2103108,07072001,ACTIVE
2103109,17091990,ACTIVE
2103110,09102001,ACTIVE
2103111,13032009,ACTIVE
2103112,12122007,ACTIVE
2103113,18012007,ACTIVE
2104101,01121983,ACTIVE
2104102,13092021,ACTIVE
2104103,10082003,ACTIVE
2104104,15092006,ACTIVE
2104105,30032005,ACTIVE
2104106,26072007,ACTIVE
2104107,07012002,ACTIVE
2104108,15122007,ACTIVE
2104109,28092008,ACTIVE
2104110,28112001,ACTIVE
2104111,16061985,ACTIVE
2105101,10092007,ACTIVE
2105102,24042007,ACTIVE
2105103,22081990,ACTIVE
2105104,14091998,ACTIVE
2105105,19062004,ACTIVE
2105106,24041998,ACTIVE
2105107,06052004,ACTIVE
2105108,12122008,ACTIVE
2105109,30102003,ACTIVE
2105110,24111997,ACTIVE
2105111,02102009,ACTIVE
2105112,11072005,ACTIVE
2105113,23122007,ACTIVE
2105114,24011971,ACTIVE
2105115,15122005,ACTIVE
2105116,12102008,ACTIVE
2105117,23081993,ACTIVE
2105118,02022007,ACTIVE
2105119,21092006,ACTIVE
2106101,14122005,ACTIVE
2106102,13062001,ACTIVE
2106103,10042006,ACTIVE
2106104,28042001,ACTIVE
2106105,28122009,ACTIVE
2106106,26012007,ACTIVE
2106107,04122004,ACTIVE
2106108,30092001,ACTIVE
2106109,12122021,ACTIVE
2106110,20072006,ACTIVE
2106111,13032005,ACTIVE
2106112,19031995,ACTIVE
2106113,07072004,ACTIVE
2106114,01052009,ACTIVE
2106115,29122006,ACTIVE
2106116,03072005,ACTIVE
2106117,11062007,ACTIVE
2106118,30042009,ACTIVE
2106119,25032007,ACTIVE
2106120,07071999,ACTIVE
2106121,01011900,NON-ACTIVE
2106122,21121993,ACTIVE
2106123,26062021,BLACKLIST
2106124,03091996,ACTIVE
2106125,01042004,ACTIVE
2106126,15032007,ACTIVE
2106127,05092000,ACTIVE
2107101,11031996,ACTIVE
2107102,23062006,ACTIVE
2107103,04012006,ACTIVE
2107104,21052003,ACTIVE
2107105,19091996,ACTIVE
2107106,17042007,ACTIVE
2107107,22062021,ACTIVE
2107108,13092007,ACTIVE
2107109,19092008,ACTIVE
2107110,22042006,ACTIVE
2107111,17122009,ACTIVE
2107112,22082006,ACTIVE
2107113,25052005,ACTIVE
2107114,17121998,ACTIVE
2107115,23072005,ACTIVE
2107116,01022009,ACTIVE
2108101,15052004,ACTIVE
2108102,07022004,ACTIVE
2108103,12022004,ACTIVE
2108104,16062002,ACTIVE
2108105,03012005,BLACKLIST
2108106,01011900,NON-ACTIVE
2108107,24052005,ACTIVE
2108108,01011900,NON-ACTIVE
2108109,27122007,ACTIVE
2108110,23072010,ACTIVE
2108111,26072000,BLACKLIST
2108112,07042007,ACTIVE
2108113,23112002,ACTIVE
2108114,15082003,ACTIVE
2108115,06082006,ACTIVE
2108116,23111998,ACTIVE
2108117,20052000,ACTIVE
2108118,25071999,ACTIVE
2108119,07092006,ACTIVE
2108120,25082007,ACTIVE
2108121,30101991,ACTIVE
2108122,20061993,ACTIVE
2109101,04061998,ACTIVE
2109102,12112007,ACTIVE
2109103,25081997,ACTIVE
2109104,18112000,ACTIVE
2109105,14102009,ACTIVE
2109106,17122007,ACTIVE
2109107,09012010,BLACKLIST
2109108,09102008,ACTIVE
2109109,03092010,ACTIVE
2109110,21042010,ACTIVE
2109111,18092008,ACTIVE
2109112,11062001,ACTIVE
2109113,19042000,ACTIVE
2109114,25062006,ACTIVE
2109115,14121995,ACTIVE
2109116,28082003,ACTIVE
2109117,25012001,ACTIVE
2109118,21092007,ACTIVE
2109119,03052004,ACTIVE
2109120,07092008,ACTIVE
2109121,28122004,ACTIVE
2109122,25042003,ACTIVE
2109123,07021997,ACTIVE
2109124,04052007,ACTIVE
2109125,26062006,ACTIVE
2109126,16092004,ACTIVE
2109127,10072006,ACTIVE
2109128,20072000,ACTIVE
2110101,13082000,ACTIVE
2110102,07032007,ACTIVE
2110103,23121975,ACTIVE
2110104,08052000,BLACKLIST
